,品牌价,上金所,溢价,溢价率%
2024-09-19,753.0,583.05,169.95000000000005,29.14844352971444
2024-09-20,758.0,588.3,169.70000000000005,28.845826959034515
2024-09-23,767.0,592.2,174.79999999999995,29.51705504896993
2024-09-24,767.0,592.0,175.0,29.56081081081081
2024-09-25,773.0,595.66,177.34000000000003,29.77201759392943
2024-09-26,773.0,597.15,175.85000000000002,29.448212341957635
2024-09-27,773.0,597.16,175.84000000000003,29.446044611159493
2024-09-30,773.0,595.25,177.75,29.86140277194456
2024-10-08,773.0,593.4,179.60000000000002,30.26626221772835
2024-10-09,768.0,588.6,179.39999999999998,30.47910295616717
2024-10-10,768.0,590.89,177.11,29.973429910812506
2024-10-11,768.0,597.3,170.70000000000005,28.578603716725276
2024-10-14,776.0,600.82,175.17999999999995,29.156819014014168
2024-10-15,776.0,603.26,172.74,28.63441965321752
2024-10-16,786.0,609.96,176.03999999999996,28.860908912059802
2024-10-17,793.0,612.66,180.34000000000003,29.435576012796666
2024-10-18,799.0,616.83,182.16999999999996,29.533258758490987
2024-10-21,806.0,624.06,181.94000000000005,29.154247988975428
2024-10-22,806.0,625.0,181.0,28.96
2024-10-23,806.0,628.68,177.32000000000005,28.205128205128215
2024-10-24,806.0,623.03,182.97000000000003,29.36776720222141
2024-10-25,806.0,621.5,184.5,29.686242960579246
2024-10-28,810.0,624.65,185.35000000000002,29.67261666533259
2024-10-29,816.0,629.5,186.5,29.62668784749801
2024-10-30,826.0,636.75,189.25,29.721240675304276
2024-10-31,826.0,634.0,192.0,30.28391167192429
2024-11-01,815.0,627.67,187.33000000000004,29.845300874663444
2024-11-04,812.0,623.48,188.51999999999998,30.236735741322896
2024-11-05,812.0,623.78,188.22000000000003,30.17409984289333
2024-11-06,812.0,624.69,187.30999999999995,29.984472298259924
2024-11-07,799.0,610.01,188.99,30.98145932033901
2024-11-08,799.0,612.85,186.14999999999998,30.374479889042995
2024-11-11,799.0,613.3,185.70000000000005,30.27881950105985
2024-11-12,788.0,602.81,185.19000000000005,30.721122741825795
2024-11-13,785.0,603.09,181.90999999999997,30.162993914672764
2024-11-14,775.0,591.12,183.88,31.107051021789147
2024-11-15,775.0,591.97,183.02999999999997,30.918796560636512
2024-11-18,775.0,598.77,176.23000000000002,29.432002271322883
2024-11-19,782.0,607.3,174.70000000000005,28.76667215544213
2024-11-20,790.0,608.0,182.0,29.93421052631579
2024-11-21,795.0,616.42,178.58000000000004,28.970507121767636
2024-11-22,801.0,623.91,177.09000000000003,28.383901524258313
2024-11-25,812.0,616.51,195.49,31.709136915865116
2024-11-26,791.0,607.0,184.0,30.31301482701812
2024-11-27,791.0,613.8,177.20000000000005,28.869338546757913
2024-11-28,791.0,611.77,179.23000000000002,29.296958007094176
2024-11-29,791.0,614.88,176.12,28.64298724954463
2024-12-02,793.0,613.18,179.82000000000005,29.3258097132979
2024-12-03,793.0,616.72,176.27999999999997,28.58347386172006
2024-12-04,798.0,615.86,182.14,29.57490338713344
2024-12-05,798.0,616.0,182.0,29.545454545454547
2024-12-06,795.0,614.09,180.90999999999997,29.4598511618818
2024-12-09,795.0,617.26,177.74,28.794997245893146
2024-12-10,802.0,619.63,182.37,29.432080435098367
2024-12-11,812.0,624.79,187.21000000000004,29.963667792378246
2024-12-12,815.0,628.83,186.16999999999996,29.605775805861672
2024-12-13,808.0,622.43,185.57000000000005,29.813794322253116
2024-12-16,798.0,618.34,179.65999999999997,29.05521234272406
2024-12-17,802.0,618.21,183.78999999999996,29.729379984147776
2024-12-18,802.0,616.5,185.5,30.08921330089213
2024-12-19,788.0,614.53,173.47000000000003,28.22807674157487
2024-12-20,788.0,611.83,176.16999999999996,28.79394603076017
2024-12-23,795.0,618.4,176.60000000000002,28.557567917205695
2024-12-24,798.0,616.34,181.65999999999997,29.473991627997524
2024-12-25,798.0,616.8,181.20000000000005,29.3774319066148
2024-12-26,798.0,618.07,179.92999999999995,29.11158930218259
